image_id,category,question,question_type,ground_truth
218439,frisbee,Is there a frisbee in this image? Answer yes or no.,absent_random,no
86755,person,Is there a person in this image? Answer yes or no.,present,yes
86755,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
86755,pizza,Is there a pizza in this image? Answer yes or no.,absent_random,no
54123,zebra,Is there a zebra in this image? Answer yes or no.,present,yes
54123,giraffe,Is there a giraffe in this image? Answer yes or no.,absent_adversarial,no
54123,clock,Is there a clock in this image? Answer yes or no.,absent_random,no
325306,zebra,Is there a zebra in this image? Answer yes or no.,present,yes
325306,giraffe,Is there a giraffe in this image? Answer yes or no.,absent_adversarial,no
325306,bus,Is there a bus in this image? Answer yes or no.,absent_random,no
374545,bicycle,Is there a bicycle in this image? Answer yes or no.,present,yes
374545,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
374545,book,Is there a book in this image? Answer yes or no.,absent_random,no
209829,person,Is there a person in this image? Answer yes or no.,present,yes
209829,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
209829,dog,Is there a dog in this image? Answer yes or no.,absent_random,no
379453,airplane,Is there a airplane in this image? Answer yes or no.,present,yes
379453,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
379453,spoon,Is there a spoon in this image? Answer yes or no.,absent_random,no
402118,person,Is there a person in this image? Answer yes or no.,present,yes
402118,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
402118,bird,Is there a bird in this image? Answer yes or no.,absent_random,no
249180,person,Is there a person in this image? Answer yes or no.,present,yes
249180,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
249180,pizza,Is there a pizza in this image? Answer yes or no.,absent_random,no
338428,bus,Is there a bus in this image? Answer yes or no.,present,yes
338428,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
338428,cup,Is there a cup in this image? Answer yes or no.,absent_random,no
328430,person,Is there a person in this image? Answer yes or no.,present,yes
328430,car,Is there a car in this image? Answer yes or no.,absent_adversarial,no
328430,bicycle,Is there a bicycle in this image? Answer yes or no.,absent_random,no
476810,remote,Is there a remote in this image? Answer yes or no.,present,yes
476810,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
476810,hot dog,Is there a hot dog in this image? Answer yes or no.,absent_random,no
315492,toilet,Is there a toilet in this image? Answer yes or no.,present,yes
315492,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
315492,horse,Is there a horse in this image? Answer yes or no.,absent_random,no
140420,motorcycle,Is there a motorcycle in this image? Answer yes or no.,present,yes
140420,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
140420,handbag,Is there a handbag in this image? Answer yes or no.,absent_random,no
341196,surfboard,Is there a surfboard in this image? Answer yes or no.,present,yes
341196,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
341196,microwave,Is there a microwave in this image? Answer yes or no.,absent_random,no
480212,dining table,Is there a dining table in this image? Answer yes or no.,present,yes
480212,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
480212,stop sign,Is there a stop sign in this image? Answer yes or no.,absent_random,no
100283,stop sign,Is there a stop sign in this image? Answer yes or no.,present,yes
100283,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
100283,umbrella,Is there a umbrella in this image? Answer yes or no.,absent_random,no
530854,umbrella,Is there a umbrella in this image? Answer yes or no.,present,yes
530854,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
530854,bottle,Is there a bottle in this image? Answer yes or no.,absent_random,no
261706,cat,Is there a cat in this image? Answer yes or no.,present,yes
261706,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
261706,bear,Is there a bear in this image? Answer yes or no.,absent_random,no
245173,bicycle,Is there a bicycle in this image? Answer yes or no.,present,yes
245173,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
245173,couch,Is there a couch in this image? Answer yes or no.,absent_random,no
375763,sheep,Is there a sheep in this image? Answer yes or no.,present,yes
375763,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
375763,bottle,Is there a bottle in this image? Answer yes or no.,absent_random,no
209972,boat,Is there a boat in this image? Answer yes or no.,present,yes
209972,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
209972,laptop,Is there a laptop in this image? Answer yes or no.,absent_random,no
93437,cup,Is there a cup in this image? Answer yes or no.,present,yes
93437,car,Is there a car in this image? Answer yes or no.,absent_adversarial,no
93437,truck,Is there a truck in this image? Answer yes or no.,absent_random,no
39769,couch,Is there a couch in this image? Answer yes or no.,present,yes
39769,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
39769,bench,Is there a bench in this image? Answer yes or no.,absent_random,no
481582,person,Is there a person in this image? Answer yes or no.,present,yes
481582,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
481582,cell phone,Is there a cell phone in this image? Answer yes or no.,absent_random,no
68628,skateboard,Is there a skateboard in this image? Answer yes or no.,present,yes
68628,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
68628,handbag,Is there a handbag in this image? Answer yes or no.,absent_random,no
344100,cup,Is there a cup in this image? Answer yes or no.,present,yes
344100,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
344100,sheep,Is there a sheep in this image? Answer yes or no.,absent_random,no
360943,cat,Is there a cat in this image? Answer yes or no.,present,yes
360943,bed,Is there a bed in this image? Answer yes or no.,absent_adversarial,no
360943,spoon,Is there a spoon in this image? Answer yes or no.,absent_random,no
408830,motorcycle,Is there a motorcycle in this image? Answer yes or no.,present,yes
408830,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
408830,knife,Is there a knife in this image? Answer yes or no.,absent_random,no
481480,person,Is there a person in this image? Answer yes or no.,present,yes
481480,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
481480,fork,Is there a fork in this image? Answer yes or no.,absent_random,no
167572,orange,Is there a orange in this image? Answer yes or no.,present,yes
167572,car,Is there a car in this image? Answer yes or no.,absent_adversarial,no
167572,bus,Is there a bus in this image? Answer yes or no.,absent_random,no
458109,person,Is there a person in this image? Answer yes or no.,present,yes
458109,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
458109,mouse,Is there a mouse in this image? Answer yes or no.,absent_random,no
322610,umbrella,Is there a umbrella in this image? Answer yes or no.,present,yes
322610,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
322610,sandwich,Is there a sandwich in this image? Answer yes or no.,absent_random,no
340894,cup,Is there a cup in this image? Answer yes or no.,present,yes
340894,car,Is there a car in this image? Answer yes or no.,absent_adversarial,no
340894,frisbee,Is there a frisbee in this image? Answer yes or no.,absent_random,no
515577,skis,Is there a skis in this image? Answer yes or no.,present,yes
515577,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
515577,cat,Is there a cat in this image? Answer yes or no.,absent_random,no
117908,refrigerator,Is there a refrigerator in this image? Answer yes or no.,present,yes
117908,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
117908,oven,Is there a oven in this image? Answer yes or no.,absent_random,no
36936,tv,Is there a tv in this image? Answer yes or no.,present,yes
36936,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
36936,traffic light,Is there a traffic light in this image? Answer yes or no.,absent_random,no
72813,bed,Is there a bed in this image? Answer yes or no.,present,yes
72813,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
72813,traffic light,Is there a traffic light in this image? Answer yes or no.,absent_random,no
454978,motorcycle,Is there a motorcycle in this image? Answer yes or no.,present,yes
454978,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
454978,stop sign,Is there a stop sign in this image? Answer yes or no.,absent_random,no
313130,refrigerator,Is there a refrigerator in this image? Answer yes or no.,present,yes
313130,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
313130,book,Is there a book in this image? Answer yes or no.,absent_random,no
157213,elephant,Is there a elephant in this image? Answer yes or no.,present,yes
157213,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
157213,toothbrush,Is there a toothbrush in this image? Answer yes or no.,absent_random,no
78565,dog,Is there a dog in this image? Answer yes or no.,present,yes
78565,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
78565,toaster,Is there a toaster in this image? Answer yes or no.,absent_random,no
531135,baseball bat,Is there a baseball bat in this image? Answer yes or no.,present,yes
531135,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
531135,toilet,Is there a toilet in this image? Answer yes or no.,absent_random,no
449996,truck,Is there a truck in this image? Answer yes or no.,present,yes
449996,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
449996,potted plant,Is there a potted plant in this image? Answer yes or no.,absent_random,no
343076,cat,Is there a cat in this image? Answer yes or no.,present,yes
343076,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
343076,traffic light,Is there a traffic light in this image? Answer yes or no.,absent_random,no
223955,frisbee,Is there a frisbee in this image? Answer yes or no.,present,yes
223955,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
223955,orange,Is there a orange in this image? Answer yes or no.,absent_random,no
494863,train,Is there a train in this image? Answer yes or no.,present,yes
494863,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
494863,skateboard,Is there a skateboard in this image? Answer yes or no.,absent_random,no
348243,horse,Is there a horse in this image? Answer yes or no.,present,yes
348243,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
348243,donut,Is there a donut in this image? Answer yes or no.,absent_random,no
8021,person,Is there a person in this image? Answer yes or no.,present,yes
8021,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
8021,knife,Is there a knife in this image? Answer yes or no.,absent_random,no
426297,zebra,Is there a zebra in this image? Answer yes or no.,present,yes
426297,giraffe,Is there a giraffe in this image? Answer yes or no.,absent_adversarial,no
426297,cell phone,Is there a cell phone in this image? Answer yes or no.,absent_random,no
248112,person,Is there a person in this image? Answer yes or no.,present,yes
248112,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
248112,knife,Is there a knife in this image? Answer yes or no.,absent_random,no
87476,person,Is there a person in this image? Answer yes or no.,present,yes
87476,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
87476,cow,Is there a cow in this image? Answer yes or no.,absent_random,no
515077,dining table,Is there a dining table in this image? Answer yes or no.,present,yes
515077,car,Is there a car in this image? Answer yes or no.,absent_adversarial,no
515077,cake,Is there a cake in this image? Answer yes or no.,absent_random,no
195165,toilet,Is there a toilet in this image? Answer yes or no.,present,yes
195165,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
195165,broccoli,Is there a broccoli in this image? Answer yes or no.,absent_random,no
381360,surfboard,Is there a surfboard in this image? Answer yes or no.,present,yes
381360,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
381360,cat,Is there a cat in this image? Answer yes or no.,absent_random,no
479912,person,Is there a person in this image? Answer yes or no.,present,yes
479912,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
479912,keyboard,Is there a keyboard in this image? Answer yes or no.,absent_random,no
77595,bed,Is there a bed in this image? Answer yes or no.,present,yes
77595,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
77595,remote,Is there a remote in this image? Answer yes or no.,absent_random,no
3845,cup,Is there a cup in this image? Answer yes or no.,present,yes
3845,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
3845,bottle,Is there a bottle in this image? Answer yes or no.,absent_random,no
229311,sink,Is there a sink in this image? Answer yes or no.,present,yes
229311,person,Is there a person in this image? Answer yes or no.,absent_adversarial,no
229311,pizza,Is there a pizza in this image? Answer yes or no.,absent_random,no
85772,person,Is there a person in this image? Answer yes or no.,present,yes
85772,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,no
85772,hot dog,Is there a hot dog in this image? Answer yes or no.,absent_random,no
